Wall time,Step,Value
1565073625.7307181,4629000,34.80134201049805
1565073851.5509946,4650000,35.507354736328125
1565073924.8762956,4657000,35.595149993896484
1565074008.2443845,4665000,35.558475494384766
1565074050.4908867,4669000,35.386192321777344
1565074132.0009663,4676000,36.159584045410156
1565074142.4148564,4677000,36.385406494140625
1565074153.0219333,4678000,36.61479568481445
1565074260.139816,4688000,36.53664016723633
1565074537.4540884,4714000,36.57395935058594
1565074598.810521,4719000,37.00674819946289
1565074769.7758205,4735000,37.2045783996582
1565074885.4167314,4746000,37.19227981567383
1565074927.866512,4750000,37.133026123046875
1565074938.3906019,4751000,37.18981170654297
1565075032.4080634,4759000,37.26811218261719
1565075095.742975,4765000,37.33182907104492
1565075127.3089633,4768000,37.37873458862305
1565075222.0801868,4777000,37.339256286621094
1565075265.7577648,4781000,37.374488830566406
1565075340.158267,4788000,37.32051086425781
1565075350.7359862,4789000,37.44013214111328
1565075415.3693101,4795000,37.52656936645508
1565075487.7863553,4801000,37.58903884887695
1565075508.8851602,4803000,37.7467041015625
1565075540.3808224,4806000,37.73866271972656
1565075908.9281971,4841000,37.84029769897461
1565076046.318905,4853000,39.48488235473633
1565076246.2399378,4872000,39.391727447509766
1565076267.3129385,4874000,39.447174072265625
1565076497.3048851,4895000,40.00038146972656
1565076715.8114054,4915000,40.059452056884766
1565076983.0676162,4939000,40.54739761352539
1565077016.3732584,4942000,40.575157165527344
1565077157.8857787,4955000,40.38199996948242
1565077245.0798254,4963000,40.531761169433594
1565077351.4491947,4972000,41.153865814208984
1565077385.4762254,4975000,41.10841369628906
1565077408.255084,4977000,41.16188049316406
1565077419.6625829,4978000,41.16041564941406
1565077907.208748,5022000,41.60593795776367
1565077972.2442462,5028000,41.632850646972656
1565078004.217287,5031000,41.50239944458008
1565078080.650561,5038000,41.59868240356445
1565078229.771226,5051000,41.98899459838867
1565078251.22956,5053000,41.769142150878906
1565078261.9175014,5054000,41.8291015625
1565078336.6585438,5061000,41.78766632080078
1565078530.1783795,5079000,41.8031005859375
1565078787.9315999,5102000,42.00862503051758
1565078842.3555675,5107000,42.069454193115234
1565079059.407843,5127000,42.0485725402832
1565079080.9820557,5129000,42.21957015991211
1565079154.4584095,5135000,42.260704040527344
1565079435.0752928,5161000,42.302772521972656
1565079488.2294438,5166000,42.33968734741211
1565079679.586644,5183000,42.56830596923828
1565079872.5801733,5201000,42.659603118896484
1565079957.9185672,5209000,42.554359436035156
1565080211.2074037,5232000,42.83429718017578
1565080254.647237,5236000,42.92638397216797
1565080299.2362225,5240000,42.916412353515625
1565080310.4551895,5241000,42.909523010253906
1565080600.2121387,5267000,43.369205474853516
1565080854.8330805,5290000,43.28915786743164
1565081173.8777373,5319000,43.658363342285156
1565081290.1337152,5330000,43.63376235961914
1565081468.685696,5346000,44.332801818847656
1565081618.6329882,5360000,44.45123291015625
1565081629.2242112,5361000,44.364017486572266
1565081854.9250703,5381000,44.591854095458984
1565082111.622298,5405000,46.13088607788086
1565082283.6745734,5421000,46.1712646484375
1565082493.2420046,5440000,46.30209732055664
1565082524.9311635,5443000,46.379085540771484
1565082578.027881,5448000,46.336891174316406
1565082982.053725,5485000,46.7734489440918
1565083056.3179374,5492000,46.750640869140625
1565083098.9031234,5496000,46.69306182861328
1565083163.064174,5502000,46.691619873046875
1565083235.0380838,5508000,47.628257751464844
1565083288.0573196,5513000,47.37704849243164
1565083320.169627,5516000,47.458431243896484
1565083342.556251,5518000,47.59447479248047
1565083601.202872,5542000,47.49598693847656
1565083696.8329756,5550000,47.77882766723633
1565083879.656856,5567000,47.960479736328125
1565083932.3713443,5572000,47.90083694458008
1565083953.5793169,5574000,48.000240325927734
1565084082.3627274,5586000,47.8905143737793
1565084112.3802972,5588000,48.022071838378906
1565084175.5222564,5594000,48.41047668457031
1565084303.2191327,5606000,48.27650833129883
1565084356.61418,5611000,48.352577209472656
1565084464.5675108,5621000,48.31864929199219
1565084579.5636177,5631000,49.186859130859375
1565084880.6157403,5659000,49.400291442871094
